accuracy,precision,recall,f1,roc_auc,cosine_probe_weight_with_v_sentiment,layer,layer_role
0.48,0.46808510638297873,0.4489795918367347,0.4583333333333333,0.5738295318127251,0.5750773,0,embedding
0.53,0.525,0.42857142857142855,0.47191011235955055,0.5938375350140056,0.65531904,1,early
0.62,0.6571428571428571,0.46938775510204084,0.5476190476190477,0.6830732292917167,0.5406791,2,early
0.68,0.7073170731707317,0.5918367346938775,0.6444444444444445,0.7811124449779911,0.7051994,3,early
0.69,0.7647058823529411,0.5306122448979592,0.6265060240963856,0.8227290916366546,0.90564567,4,early
0.73,0.84375,0.5510204081632653,0.6666666666666666,0.7747098839535814,0.9265322,5,middle
0.84,0.9024390243902439,0.7551020408163265,0.8222222222222222,0.8875550220088035,0.9954926,6,middle
0.88,0.8936170212765957,0.8571428571428571,0.875,0.9279711884753902,0.986911,7,middle
0.89,0.8958333333333334,0.8775510204081632,0.8865979381443299,0.9559823929571828,0.91470736,8,primary_candidate
0.89,0.8958333333333334,0.8775510204081632,0.8865979381443299,0.961984793917567,0.7155335,9,primary_candidate
0.92,0.9361702127659575,0.8979591836734694,0.9166666666666666,0.9663865546218487,0.19035971,10,middle
0.88,0.8775510204081632,0.8775510204081632,0.8775510204081632,0.9527811124449781,0.07235014,11,middle
0.9,0.9333333333333333,0.8571428571428571,0.8936170212765957,0.9555822328931572,0.055451885,12,final_reference
